market,ticker,pccy,occy
Poloniex,BTC_LTC,BTC,LTC
Poloniex,BTC_ETH,BTC,ETH
Poloniex,USDT_BTC,USD,BTC
Poloniex,USDT_ETH,USD,ETH
Poloniex,USDT_LTC,USD,LTC
Bithumb,KRW_BTC,KRW,BTC
Bithumb,KRW_ETH,KRW,ETH
Bithumb,KRW_LTC,KRW,LTC
Bitstamp,BTCUSD,USD,BTC
Coinone,BTC,KRW,BTC
Coinone,ETH,KRW,ETH
Coinone,ETC,KRW,ETC
GDAX,BTC-USD,USD,BTC
GDAX,ETH-USD,USD,ETH
GDAX,LTC-USD,USD,LTC
GDAX,ETH-BTC,BTC,ETH
GDAX,LTC-BTC,BTC,LTC
Kraken,XXBTZUSD,USD,BTC
Kraken,XXBTZUSD,USD,BTC
Kraken,XETHZUSD,USD,ETH
Kraken,XLTCZUSD,USD,LTC
Kraken,XLTCXXBT,BTC,LTC
Kraken,XETHXXBT,BTC,ETH
Bitfinex,BTCUSD,USD,BTC
Bitfinex,LTCUSD,USD,LTC
Bitfinex,ETHUSD,USD,ETH
Bitfinex,ETHBTC,BTC,ETH
Bitfinex,LTCBTC,BTC,LTC
Huobi,btccny,CNY,BTC
Huobi,ltccny,CNY,LTC
Huobi,btcusd,USD,BTC
OKCoin,btc_cny,CNY,BTC
OKCoin,ltc_cny,CNY,LTC
OKCoin,eth_cny,CNY,ETH
